NOC,Event,Gam_Med_Bro,Gam_Med_Sil,Gam_Med_Gol,Gam_Med_Non
EUN,Gymnastics Men's Rings,0,0,1,5
EUN,Gymnastics Men's Pommelled Horse,0,0,1,5
BEL,"Athletics Women's 5,000 metres",0,0,0,2
BRN,"Athletics Women's 1,500 metres",1,0,0,4
BRN,"Athletics Women's 5,000 metres",0,0,0,3
ETH,Athletics Women's 20 kilometres Walk,0,0,0,2
ISR,Figure Skating Mixed Ice Dancing,0,0,0,12
BLR,Rowing Men's Quadruple Sculls,0,0,0,13
ALG,Athletics Men's High Jump,1,0,0,4
URS,"Cycling Men's Team Pursuit, 4,000 metres",4,4,10,21
MAR,Boxing Men's Flyweight,0,0,0,11
MAR,Judo Men's Lightweight,0,0,0,2
ALG,Athletics Men's Marathon,0,0,0,10
UKR,Judo Women's Half-Heavyweight,0,0,0,5
UKR,Judo Women's Middleweight,0,0,0,3
YUG,Boxing Men's Light-Middleweight,0,1,0,3
GRE,Beach Volleyball Men's Beach Volleyball,0,0,0,2
GRE,Athletics Women's 100 metres,0,1,0,6
GRE,Athletics Women's 200 metres,0,0,0,6
RUS,"Shooting Men's Free Rifle, Three Positions, 300 metres",0,0,0,11
RUS,"Shooting Men's Military Rifle, Three Positions, 300 metres",0,0,0,12
RUS,"Shooting Men's Military Rifle, Any Position, 600 metres",0,0,0,12
CAN,"Wrestling Women's Flyweight, Freestyle",1,0,1,2
BIZ,Athletics Men's Marathon,0,0,0,3
EST,"Fencing Women's epee, Individual",0,0,0,6
EST,"Fencing Women's epee, Team",0,0,0,7
SRB,Handball Men's Handball,0,0,0,15
GBR,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,0,36
FRA,"Athletics Women's 5,000 metres",0,0,0,2
RUS,Snowboarding Men's Parallel Giant Slalom,0,0,1,6
RUS,Athletics Women's 100 metres,0,0,0,13
RUS,Athletics Women's 4 x 100 metres Relay,0,4,4,13
GER,Curling Women's Curling,0,0,0,15
USA,"Cycling Men's 1,000 metres Time Trial",1,1,0,13
CAN,"Wrestling Men's Heavyweight, Greco-Roman",0,0,0,3
NZL,Swimming Men's 100 metres Backstroke,0,0,0,13
GBR,Judo Women's Half-Middleweight,0,0,0,7
IRL,Alpine Skiing Women's Giant Slalom,0,0,0,4
IRL,Alpine Skiing Women's Slalom,0,0,0,4
GBR,Alpine Skiing Men's Super G,0,0,0,14
IRL,Hockey Men's Hockey,0,0,0,16
AUS,Swimming Women's 4 x 100 metres Freestyle Relay,5,11,23,37
CAN,Athletics Women's High Jump,1,0,1,17
NZL,Snowboarding Women's Giant Slalom,0,0,0,1
AUS,"Canoeing Men's Canadian Singles, Slalom",1,0,0,6
USA,Rowing Women's Lightweight Double Sculls,2,2,0,8
CAN,Cycling Men's Points Race,0,1,0,6
CAN,Cycling Men's Madison,0,0,0,2
CAN,Cycling Men's Omnium,0,0,0,1
USA,Biathlon Women's 3 x 7.5 kilometres Relay,0,0,0,3
ALG,Swimming Men's 100 metres Breaststroke,0,0,0,4
ALG,Swimming Men's 200 metres Breaststroke,0,0,0,4
CMR,Football Women's Football,0,0,0,17
FRA,"Short Track Speed Skating Men's 1,000 metres",0,0,0,13
FRA,"Short Track Speed Skating Men's 5,000 metres Relay",0,0,0,9
CAF,Basketball Men's Basketball,0,0,0,12
SUI,Beach Volleyball Men's Beach Volleyball,2,0,0,12
USA,Athletics Men's 5 mile,0,0,0,7
MAR,Swimming Men's 200 metres Freestyle,0,0,0,1
SWE,Swimming Men's 200 metres Freestyle,0,2,0,19
BAR,Athletics Women's 400 metres Hurdles,0,0,0,4
USA,Art Competitions Mixed Literature,0,0,0,4
CAN,Boxing Men's Bantamweight,1,1,1,8
BEL,Sailing Men's Two Person Dinghy,0,0,0,2
BEL,Sailing Women's One Person Dinghy,1,0,0,6
FRA,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0,0,0,14
CAN,Shooting Mixed Skeet,0,0,0,8
FRA,Boxing Men's Light-Middleweight,1,1,0,6
TTO,Athletics Women's 400 metres Hurdles,0,0,0,4
GER,"Art Competitions Mixed Sculpturing, Statues",1,1,0,26
GRE,Baseball Men's Baseball,0,0,0,23
USA,"Canoeing Men's Kayak Singles, 500 metres",0,0,0,8
AUS,Cross Country Skiing Men's Sprint,0,0,0,4
AUS,Cross Country Skiing Men's Team Sprint,0,0,0,4
COL,"Shooting Mixed Running Target, 50 metres",0,1,0,3
COL,"Shooting Men's Running Target, 50 metres",0,1,0,1
ITA,"Art Competitions Mixed Sculpturing, Unknown Event",0,0,0,28
ESP,Sailing Men's Windsurfer,0,0,0,8
ITA,Shooting Men's Trap,2,5,2,16
FRG,Modern Pentathlon Men's Individual,0,0,0,15
FRG,Modern Pentathlon Men's Team,0,0,0,15
GDR,Cross Country Skiing Men's 4 x 10 kilometres Relay,0,0,0,16
ISV,Athletics Women's 200 metres,0,0,0,8
ISV,Athletics Women's 400 metres,0,0,0,3
ISV,Athletics Women's 4 x 100 metres Relay,0,0,0,4
ISV,Athletics Women's 100 metres,0,0,0,6
ARG,Archery Men's Individual,0,0,0,2
POR,Sailing Mixed 5.5 metres,0,0,0,6
PER,Swimming Men's 200 metres Freestyle,0,0,0,2
PER,Swimming Men's 100 metres Butterfly,0,0,0,2
AUS,"Canoeing Men's Canadian Doubles, Slalom",0,0,0,12
SLE,Weightlifting Men's Middleweight,0,0,0,1
ESP,Judo Women's Middleweight,0,0,0,6
HUN,"Athletics Men's 1,500 metres",1,0,0,21
ESP,Judo Women's Lightweight,1,0,2,3
ITA,Rowing Men's 6-Man Naval Rowing Boats,0,0,7,0
ITA,"Wrestling Men's Lightweight, Greco-Roman",1,0,1,14
ARG,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,0,8
ARG,Swimming Women's 200 metres Backstroke,0,0,0,4
ITA,"Shooting Men's Trap, Team",0,0,0,6
ITA,Athletics Men's 50 kilometres Walk,3,0,3,39
BRA,Tennis Men's Singles,0,0,0,12
ITA,"Cycling Women's Individual Pursuit, 3,000 metres",0,0,1,2
ITA,Cycling Women's Points Race,0,0,1,3
ITA,Bobsleigh Women's Two,2,0,0,6
SMR,Sailing Mixed One Person Dinghy,0,0,0,1
GBR,Sailing Mixed 6 metres,0,0,8,13
NED,Weightlifting Men's Middleweight,1,0,0,5
ITA,Cross Country Skiing Women's 20 kilometres,0,0,0,7
ITA,Cross Country Skiing Women's 15 kilometres,0,0,2,13
ITA,Cross Country Skiing Women's 5/10 kilometres Pursuit,1,2,0,9
ITA,Cross Country Skiing Women's 5/5 kilometres Pursuit,0,0,0,4
CUB,Athletics Women's Marathon,0,0,0,3
ESP,Swimming Women's 800 metres Freestyle,0,1,0,8
ESP,Swimming Women's 200 metres Butterfly,0,1,1,10
BOL,Judo Men's Extra-Lightweight,0,0,0,2
URU,"Fencing Men's epee, Individual",0,0,0,5
URU,"Fencing Men's epee, Team",0,0,0,4
URU,"Fencing Men's Sabre, Individual",0,0,0,11
URU,"Fencing Men's Sabre, Team",0,0,0,10
EUN,Rowing Men's Coxed Pairs,0,0,0,3
LAT,"Cycling Men's Road Race, Individual",1,0,0,23
LAT,Cycling Men's Individual Time Trial,0,0,0,3
URS,"Athletics Men's 1,500 metres",0,0,0,15
UKR,"Cycling Women's Mountainbike, Cross-Country",0,0,0,3
KAZ,Rowing Men's Single Sculls,0,0,0,3
RUS,Sailing Mixed 10 metres,7,0,0,0
ARG,Handball Women's Handball,0,0,0,15
ITA,Swimming Women's 200 metres Breaststroke,0,0,0,14
MDA,Boxing Men's Welterweight,1,0,0,3
URS,"Ski Jumping Men's Normal Hill, Individual",0,0,0,32
URS,"Ski Jumping Men's Large Hill, Individual",0,0,1,21
RUS,"Ski Jumping Men's Normal Hill, Individual",0,0,0,24
RUS,"Ski Jumping Men's Large Hill, Individual",0,0,0,24
URS,"Wrestling Men's Middleweight, Greco-Roman",1,3,3,2
BLR,Athletics Men's Shot Put,0,0,0,11
EUN,Biathlon Women's 7.5 kilometres Sprint,1,0,1,2
EUN,Biathlon Women's 3 x 7.5 kilometres Relay,3,0,0,0
URS,Swimming Women's 100 metres Butterfly,0,0,0,11
GDR,Sailing Mixed Three Person Keelboat,6,3,3,6
NED,"Cycling Women's Road Race, Individual",1,0,4,24
GBR,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,0,27
BRA,Rowing Women's Single Sculls,0,0,0,3
BRA,Rowing Women's Lightweight Double Sculls,0,0,0,6
ITA,"Canoeing Men's Kayak Doubles, 1,000 metres",2,2,4,22
ITA,"Cycling Men's Individual Pursuit, 4,000 metres",0,1,1,8
CUB,Judo Women's Heavyweight,1,5,1,0
DOM,Boxing Men's Light-Flyweight,0,0,0,6
AUS,Rowing Men's Lightweight Double Sculls,2,0,0,8
ROU,"Wrestling Men's Welterweight, Greco-Roman",1,0,0,11
BER,Swimming Men's 200 metres Breaststroke,0,0,0,4
RUS,Swimming Women's 200 metres Freestyle,0,0,0,7
RUS,Swimming Women's 400 metres Freestyle,0,0,0,7
EUN,Luge Mixed (Men)'s Doubles,0,0,0,4
RUS,Boxing Women's Lightweight,1,1,0,0
RUS,"Short Track Speed Skating Women's 1,500 metres",0,0,0,9
RUS,"Short Track Speed Skating Women's 1,000 metres",0,0,0,13
RUS,"Short Track Speed Skating Women's 3,000 metres Relay",0,0,0,8
RUS,Athletics Women's Pole Vault,2,1,2,7
KAZ,"Shooting Men's Air Rifle, 10 metres",0,0,0,4
KAZ,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0,1,0,3
KAZ,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0,1,0,3
CAN,Rowing Men's Single Sculls,2,1,0,10
SUI,"Athletics Men's 3,000 metres Steeplechase",0,0,0,6
GRE,"Fencing Men's Foil, Team",0,0,0,9
CGO,Athletics Men's 400 metres,0,0,0,5
MAR,Taekwondo Women's Welterweight,0,0,0,3
MAR,Athletics Men's Marathon,0,2,0,20
TUN,Table Tennis Women's Singles,0,0,0,7
TUN,Table Tennis Women's Doubles,0,0,0,4
MAR,"Wrestling Men's Bantamweight, Greco-Roman",0,0,0,7
TUN,"Cycling Men's Road Race, Individual",0,0,0,6
TUN,Cycling Men's 100 kilometres Team Time Trial,0,0,0,4
TUN,Taekwondo Women's Featherweight,0,0,0,1
TUN,Athletics Women's Marathon,0,0,0,1
TUN,Modern Pentathlon Men's Individual,0,0,0,3
TUN,Modern Pentathlon Men's Team,0,0,0,3
TUN,Athletics Men's Marathon,0,0,0,10
MAR,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0,0,0,2
ALG,Judo Men's Lightweight,0,0,0,7
TUN,"Fencing Women's Sabre, Individual",0,0,0,4
MAR,Modern Pentathlon Men's Individual,0,0,0,2
ALG,"Fencing Men's Sabre, Individual",0,0,0,4
ALG,"Fencing Men's Sabre, Team",0,0,0,3
ISR,"Cycling Men's Road Race, Individual",0,0,0,2
TUN,Judo Women's Half-Heavyweight,0,0,0,3
ALG,"Wrestling Men's Lightweight, Greco-Roman",0,0,0,4
TUN,Judo Men's Lightweight,0,0,0,3
TUN,Boxing Men's Middleweight,0,0,0,3
MAR,"Fencing Men's Foil, Team",0,0,0,6
MAR,"Fencing Men's Sabre, Individual",0,0,0,3
MAR,"Fencing Men's Sabre, Team",0,0,0,4
ALG,Boxing Men's Light-Heavyweight,1,0,0,5
ALG,Athletics Men's 110 metres Hurdles,0,0,0,2
ISR,Boxing Men's Light-Flyweight,0,0,0,1
TUN,Taekwondo Women's Heavyweight,0,0,0,2
TUN,Boxing Men's Bantamweight,0,0,0,7
TUN,Boxing Men's Featherweight,0,0,0,6
TUN,Athletics Women's 400 metres,0,0,0,1
TUN,Weightlifting Men's Lightweight,0,0,0,4
TUN,"Canoeing Women's Kayak Singles, 200 metres",0,0,0,1
TUN,"Canoeing Women's Kayak Singles, 500 metres",0,0,0,2
MAR,"Fencing Men's epee, Team",0,0,0,5
MAR,Judo Men's Heavyweight,0,0,0,3
MAR,Judo Men's Open Class,0,0,0,1
TUN,Rowing Men's Single Sculls,0,0,0,3
ALG,Volleyball Men's Volleyball,0,0,0,10
TUN,Athletics Men's 50 kilometres Walk,0,0,0,5
TUN,Table Tennis Men's Doubles,0,0,0,2
TUN,Swimming Men's 200 metres Freestyle,0,0,0,5
TUN,Boxing Men's Lightweight,0,0,0,6
TUN,Basketball Men's Basketball,0,0,0,12
LBA,Judo Men's Half-Middleweight,0,0,0,2
LBA,Judo Men's Half-Heavyweight,0,0,0,1
MAR,Athletics Men's 400 metres,0,0,0,3
TUN,Athletics Women's Pole Vault,0,0,0,1
ISR,"Shooting Men's Free Rifle, Three Positions, 300 metres",0,0,0,2
ALG,Swimming Men's 200 metres Individual Medley,0,0,0,2
ALG,"Wrestling Men's Welterweight, Greco-Roman",0,0,0,5
ALG,Judo Men's Middleweight,0,1,0,4
ALG,Judo Men's Half-Lightweight,0,0,0,6
ITA,Sailing Mixed Two Person Keelboat,6,2,2,24
CHI,Athletics Men's Discus Throw,0,0,0,3
ITA,"Canoeing Men's Kayak Singles, 1,000 metres",0,1,0,12
ESP,"Canoeing Men's Canadian Singles, 200 metres",0,0,0,2
ESP,Swimming Men's 50 metres Freestyle,0,0,0,5
ESP,Swimming Men's 100 metres Freestyle,0,0,0,18
GUA,Swimming Men's 200 metres Freestyle,0,0,0,5
GUA,Swimming Men's 100 metres Butterfly,0,0,0,4
GUA,Swimming Men's 200 metres Butterfly,0,0,0,2
ALG,Boxing Men's Lightweight,0,0,1,4
TCH,Cross Country Skiing Men's 10 kilometres,0,0,0,4
TCH,Cross Country Skiing Men's 10/15 kilometres Pursuit,0,0,0,4
ALG,"Wrestling Men's Featherweight, Greco-Roman",0,0,0,1
TCH,Athletics Men's 20 kilometres Walk,0,0,1,11
TCH,Athletics Men's 50 kilometres Walk,0,1,0,16
MLT,Athletics Men's 100 metres,0,0,0,8
SWE,Tennis Men's Singles,1,0,0,31
SWE,"Tennis Men's Doubles, Covered Courts",2,2,0,4
HUN,"Wrestling Men's Bantamweight, Greco-Roman",0,0,4,12
HUN,"Wrestling Men's Bantamweight, Freestyle",1,1,1,7
SVK,Bobsleigh Men's Four,0,0,0,16
ALG,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,0,4
EGY,Weightlifting Men's Heavyweight I,0,0,0,1
TCH,Volleyball Women's Volleyball,0,0,0,24
NOR,Sailing Mixed Two Person Heavyweight Dinghy,0,2,2,8
FRG,Athletics Men's Decathlon,2,3,0,8
HUN,Alpine Skiing Men's Giant Slalom,0,0,0,10
HUN,Alpine Skiing Men's Slalom,0,0,0,15
ROU,"Canoeing Women's Kayak Fours, 500 metres",4,0,4,8
ITA,Swimming Women's 100 metres Butterfly,0,0,0,17
ITA,Swimming Women's 100 metres Freestyle,0,0,0,19
ITA,Swimming Women's 400 metres Freestyle,0,1,0,17
GER,Volleyball Women's Volleyball,0,0,0,36
HUN,Weightlifting Men's Featherweight,1,0,0,8
ITA,"Wrestling Men's Welterweight, Greco-Roman",1,0,0,4
ITA,Athletics Men's 4 x 100 metres Relay,8,4,0,68
ITA,Diving Men's Springboard,1,3,0,30
SLO,Cross Country Skiing Women's 10 kilometres,0,0,0,10
SLO,Cross Country Skiing Women's 30 kilometres,0,0,0,5
SLO,Cross Country Skiing Women's 15 km Skiathlon,0,0,0,5
SLO,Cross Country Skiing Women's Team Sprint,0,0,0,6
SWE,"Shooting Men's Running Target, Double Shot, Team",4,5,0,0
USA,"Shooting Men's Free Rifle, 1,000 Yards",0,1,0,8
USA,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",0,0,6,0
TCH,"Fencing Men's Sabre, Individual",0,0,0,10
DEN,Gymnastics Men's Floor Exercise,0,0,0,19
DEN,Gymnastics Men's Horse Vault,0,0,0,19
DEN,Gymnastics Men's Parallel Bars,0,0,0,19
DEN,Gymnastics Men's Horizontal Bar,0,0,0,19
DEN,Gymnastics Men's Rings,0,0,0,19
DEN,Gymnastics Men's Pommelled Horse,0,0,0,19
ISL,Alpine Skiing Men's Downhill,0,0,0,11
ITA,Shooting Mixed Skeet,2,1,0,13
ITA,Shooting Men's Skeet,1,0,3,10
NED,Swimming Men's 100 metres Freestyle,0,0,2,26
YUG,Boxing Men's Welterweight,0,0,0,4
CZE,Beach Volleyball Men's Beach Volleyball,0,0,0,6
AUT,Gymnastics Women's Individual All-Around,0,0,0,17
AUT,Gymnastics Women's Team All-Around,0,0,0,22
AUT,Gymnastics Women's Floor Exercise,0,0,0,17
AUT,Gymnastics Women's Horse Vault,0,0,0,15
AUT,Gymnastics Women's Uneven Bars,0,0,0,17
AUT,Gymnastics Women's Balance Beam,0,0,0,17
CZE,Athletics Women's 400 metres,0,0,0,5
ESP,Athletics Men's Decathlon,0,1,0,9
ITA,"Canoeing Men's Canadian Doubles, Slalom",0,0,0,6
ARG,Swimming Men's 200 metres Breaststroke,0,0,0,12
CAN,Diving Women's Synchronized Platform,6,2,0,2
ESP,Cycling Women's Points Race,1,0,0,3
NOR,Sailing Mixed Two Person Keelboat,0,2,0,8
SWE,Athletics Men's Standing High Jump,0,0,0,6
SWE,Athletics Women's Pole Vault,0,0,0,3
SWE,Sailing Women's Two Person Dinghy,2,2,0,8
SWE,Badminton Women's Doubles,0,0,0,4
SWE,"Wrestling Men's Super-Heavyweight, Greco-Roman",2,1,0,7
SWE,Judo Men's Half-Lightweight,0,0,0,4
SWE,Shooting Mixed Skeet,0,1,0,11
SWE,Sailing Mixed 30 metres,0,0,3,0
SWE,Athletics Men's 800 metres,0,1,0,26
SWE,Sailing Mixed Two Person Dinghy,0,0,0,6
SWE,Boxing Men's Featherweight,1,0,0,6
SWE,Rhythmic Gymnastics Women's Individual,0,0,0,1
SUI,Rowing Men's Quadruple Sculls,0,0,0,28
GBR,"Athletics Men's Cross-Country, Individual",0,0,0,16
GBR,"Athletics Men's Cross-Country, Team",5,6,0,5
NAM,Boxing Men's Light-Flyweight,0,0,0,4
ITA,Swimming Men's 200 metres Butterfly,0,0,0,14
CIV,"Wrestling Women's Flyweight, Freestyle",0,0,0,1
RSA,Sailing Mixed 5.5 metres,0,0,0,6
ECU,Taekwondo Women's Heavyweight,0,0,0,1
VEN,"Fencing Women's Sabre, Individual",0,0,0,4
ESP,Taekwondo Women's Welterweight,0,0,0,1
ESP,Diving Women's Springboard,0,0,0,8
PUR,Sailing Mixed Two Person Dinghy,0,0,0,2
URU,Boxing Men's Light-Middleweight,0,0,0,4
ESA,Swimming Women's 800 metres Freestyle,0,0,0,4
ESA,Athletics Men's 100 metres,0,0,0,4
SLE,Athletics Men's 100 metres,0,0,0,10
SLE,Athletics Men's 200 metres,0,0,0,9
ANT,Athletics Men's 4 x 100 metres Relay,0,0,0,16
ANT,Athletics Men's Long Jump,0,0,0,3
USA,Sailing Mixed Two Person Dinghy,0,2,0,2
HUN,"Cycling Women's Mountainbike, Cross-Country",0,0,0,1
HUN,"Canoeing Men's Kayak Singles, 1,000 metres",2,3,1,11
SLO,"Ski Jumping Men's Normal Hill, Individual",0,1,0,27
SLO,"Ski Jumping Men's Large Hill, Individual",1,0,0,27
SLO,"Ski Jumping Men's Large Hill, Team",4,0,0,24
CAN,Rugby Sevens Women's Rugby Sevens,12,0,0,0
ARG,Sailing Mixed One Person Dinghy,0,0,0,13
NED,Volleyball Men's Volleyball,0,12,12,46
FRA,Tennis Men's Singles,1,2,1,44
GBR,Athletics Women's High Jump,0,5,0,29
USA,Swimming Men's 200 metres Backstroke,5,7,9,9
NZL,Sailing Mixed Two Person Dinghy,0,0,0,4
GBR,"Athletics Men's 4,000 metres Steeplechase",1,1,1,0
GBR,"Athletics Men's 5,000 metres, Team",0,0,4,0
AUS,Athletics Women's 200 metres,3,2,2,24
AUS,Athletics Women's 4 x 100 metres Relay,0,4,4,37
USA,Cycling Men's BMX,1,1,1,6
USA,Triathlon Women's Olympic Distance,1,0,1,13
GBR,Rugby Sevens Men's Rugby Sevens,0,12,0,0
AUS,"Equestrianism Mixed Three-Day Event, Individual",0,1,1,51
AUS,"Equestrianism Mixed Three-Day Event, Team",12,5,12,26
USA,Boxing Men's Heavyweight,5,1,7,13
WIF,Sailing Mixed Two Person Heavyweight Dinghy,0,0,0,2
HON,Athletics Men's 110 metres Hurdles,0,0,0,1
NZL,"Equestrianism Mixed Three-Day Event, Individual",2,1,3,30
NZL,"Equestrianism Mixed Three-Day Event, Team",13,4,0,22
USA,Athletics Women's Marathon,1,0,1,23
USA,Cross Country Skiing Women's Sprint,0,0,0,13
BEL,"Wrestling Men's Middleweight, Greco-Roman",0,0,0,10
BEL,"Wrestling Men's Middleweight, Freestyle",0,1,0,7
URU,Rowing Men's Coxless Pairs,0,0,0,6
BEL,"Wrestling Men's Welterweight, Greco-Roman",0,0,0,7
USA,Luge Men's Singles,0,0,0,45
FRA,Swimming Women's 200 metres Individual Medley,0,0,0,7
USA,"Shooting Men's Running Target, 50 metres",0,0,0,4
GRE,Football Women's Football,0,0,0,18
RSA,"Art Competitions Mixed Sculpturing, Statues",0,0,0,1
GBR,Triathlon Men's Olympic Distance,1,1,2,11
IRL,Sailing Mixed Three Person Keelboat,0,0,0,13
NZL,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,0,12
AUS,Judo Men's Lightweight,0,0,0,11
CUB,Swimming Men's 100 metres Backstroke,1,1,0,4
CUB,Swimming Men's 200 metres Backstroke,0,0,0,7
SWE,Alpine Skiing Women's Downhill,1,1,0,19
SWE,Alpine Skiing Women's Super G,0,0,0,15
SWE,Alpine Skiing Women's Combined,2,0,1,9
GBR,"Cycling Men's Individual Pursuit, 4,000 metres",1,0,3,11
ALG,"Fencing Women's epee, Individual",0,0,0,3
FRG,Rowing Men's Coxed Pairs,0,0,0,13
POR,Judo Men's Lightweight,0,0,0,10
ITA,Boxing Men's Light-Middleweight,0,1,0,12
GUM,Athletics Men's 400 metres Hurdles,0,0,0,1
KEN,Sailing Mixed Two Person Heavyweight Dinghy,0,0,0,2
ESP,"Shooting Men's Military Pistol, Team",0,0,0,5
ESP,"Shooting Men's Free Pistol, 50 metres, Team",0,0,0,5
ESP,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",0,0,0,5
ESP,"Shooting Men's Military Rifle, Prone, 300 metres, Team",0,0,0,5
ESP,"Shooting Men's Military Rifle, Prone, 600 metres, Team",0,0,0,5
ESP,"Shooting Men's Military Rifle, Standing, 300 metres, Team",0,0,0,5
ESP,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",0,0,0,5
ESP,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",0,0,0,5
ESP,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",0,0,0,5
ALG,Cross Country Skiing Men's 50 kilometres,0,0,0,1
DEN,Table Tennis Men's Singles,0,0,0,5
USA,Swimming Men's 4 x 200 metres Freestyle Relay,10,26,111,0
NOR,"Athletics Men's 10,000 metres",0,0,0,9
SVK,"Canoeing Men's Canadian Singles, Slalom",2,3,2,1
ARG,"Cycling Men's Road Race, Team",0,0,0,12
ITA,Boxing Men's Welterweight,3,0,1,12
BUL,Luge Men's Singles,0,0,0,4
NED,Athletics Men's 100 metres,1,0,0,29
GER,"Canoeing Men's Canadian Singles, Slalom",1,1,0,9
ALG,"Cycling Men's Road Race, Individual",0,0,0,6
JPN,Cycling Men's Individual Time Trial,0,0,0,2
INA,Swimming Men's 50 metres Freestyle,0,0,0,4
INA,Swimming Men's 100 metres Freestyle,0,0,0,7
INA,Swimming Men's 200 metres Freestyle,0,0,0,2
INA,Swimming Men's 400 metres Freestyle,0,0,0,4
INA,Swimming Men's 200 metres Individual Medley,0,0,0,4
CZE,"Fencing Men's epee, Individual",0,0,0,2
BOH,"Wrestling Men's Featherweight, Greco-Roman",0,0,0,1
TCH,"Wrestling Men's Featherweight, Greco-Roman",0,0,0,12
LTU,Tennis Men's Singles,0,0,0,1
CZE,Figure Skating Mixed Pairs,0,0,0,6
TCH,Rowing Women's Coxed Eights,0,0,0,9
FRA,Cycling Men's Points Race,1,0,0,16
SMR,Athletics Men's 100 metres,0,0,0,3
TUR,Swimming Men's 50 metres Freestyle,0,0,0,5
BUL,Rowing Women's Coxless Pairs,2,2,2,4
BUL,Rowing Women's Coxless Fours,0,0,0,4
ARM,"Wrestling Men's Featherweight, Freestyle",0,0,0,4
ARM,"Wrestling Men's Lightweight, Freestyle",0,0,0,3
JAM,Boxing Men's Heavyweight,0,0,0,2
BRA,Sailing Mixed One Person Dinghy,0,1,2,13
AUS,Freestyle Skiing Women's Moguls,0,0,0,9
GER,"Canoeing Men's Canadian Singles, 1,000 metres",1,1,4,6
ROU,Biathlon Men's 10 kilometres Sprint,0,0,0,9
PUR,Archery Men's Individual,0,0,0,4
FRA,"Fencing Women's Sabre, Team",0,0,0,8
MDA,"Cycling Men's Road Race, Individual",0,0,0,9
KAZ,Judo Men's Heavyweight,0,0,0,5
CZE,Tennis Men's Singles,0,0,0,14
CZE,Tennis Men's Doubles,0,0,0,16
ROU,Boxing Men's Featherweight,0,1,0,12
HUN,Alpine Skiing Women's Downhill,0,0,0,8
HUN,Alpine Skiing Women's Super G,0,0,0,8
HUN,Alpine Skiing Women's Giant Slalom,0,0,0,12
HUN,Alpine Skiing Women's Combined,0,0,0,7
HUN,Cross Country Skiing Men's 50 kilometres,0,0,0,5
HUN,Sailing Men's One Person Dinghy,0,0,0,7
HUN,Sailing Men's One Person Heavyweight Dinghy,0,0,0,1
HUN,Biathlon Women's 3 x 7.5 kilometres Relay,0,0,0,3
HUN,Biathlon Women's 4 x 7.5 kilometres Relay,0,0,0,4
PHI,Gymnastics Men's Individual All-Around,0,0,0,4
PHI,Gymnastics Men's Floor Exercise,0,0,0,4
PHI,Gymnastics Men's Parallel Bars,0,0,0,2
PHI,Gymnastics Men's Rings,0,0,0,2
GDR,Athletics Women's 100 metres Hurdles,1,2,2,7
FRG,Athletics Women's Discus Throw,0,1,0,4
PER,Athletics Men's Long Jump,0,0,0,5
SWE,Figure Skating Mixed Pairs,0,0,0,2
USA,Swimming Men's 200 metres Freestyle,6,4,3,15
NED,Judo Men's Extra-Lightweight,1,0,0,3
HUN,"Short Track Speed Skating Men's 1,000 metres",0,0,0,8
HUN,"Short Track Speed Skating Men's 1,500 metres",0,0,0,9
HUN,"Athletics Men's 5,000 metres",0,0,0,14
CAN,Badminton Men's Singles,0,0,0,8
CAN,Badminton Mixed Doubles,0,0,0,20
HUN,Boxing Men's Light-Heavyweight,1,0,0,7
AUS,"Equestrianism Mixed Dressage, Individual",0,0,0,20
AUS,"Equestrianism Mixed Dressage, Team",0,0,0,14
GBR,"Rowing Men's Coxed Fours, Outriggers",0,5,0,0
UKR,Gymnastics Men's Individual All-Around,1,1,0,24
UKR,Gymnastics Men's Team All-Around,7,6,0,16
UKR,Gymnastics Men's Floor Exercise,0,0,0,25
UKR,Gymnastics Men's Horse Vault,1,0,0,19
UKR,Gymnastics Men's Parallel Bars,0,0,3,22
UKR,Gymnastics Men's Horizontal Bar,0,0,0,25
UKR,Gymnastics Men's Rings,1,0,0,24
UKR,Gymnastics Men's Pommelled Horse,0,0,0,25
UKR,Swimming Women's 800 metres Freestyle,0,1,0,2
UKR,Swimming Women's 400 metres Freestyle,0,0,0,3
UKR,Swimming Women's 10 kilometres Open Water,0,0,0,2
SVK,Athletics Women's Marathon,0,0,0,3
RUS,Weightlifting Men's Heavyweight,2,1,1,2
KAZ,Freestyle Skiing Men's Aerials,0,0,0,2
SCG,Swimming Men's 100 metres Backstroke,0,0,0,2
EUN,Athletics Women's Long Jump,0,1,0,2
UKR,Archery Women's Individual,1,0,0,16
UKR,Archery Women's Team,0,3,0,12
LAT,Figure Skating Mixed Pairs,0,0,0,4
